instrumento,bjd,vrad,svrad
HIRES-pre04,2453180.09417659,-83.02,1.820365
HIRES,2453180.09417659,-88.0,3.7
HIRES,2453182.0379291195,74.25,1.81
HIRES-pre04,2453182.0379301202,73.61,1.822215
HIRES,2453182.0379301202,68.6,3.5
HIRES,2453195.9050605837,90.39,2.67
HIRES,2453195.9050625837,81.1,4.9
HIRES-pre04,2453195.9050625837,86.35,2.313404
HIRES,2453196.930490172,-28.37,1.91
HIRES,2453196.9304911722,-35.3,3.4
HIRES-pre04,2453196.9304911722,-30.08,1.686608
HIRES,2453238.9524913235,19.24,1.64
HIRES-post04,2453238.9524943237,20.99,1.520997
HIRES,2453239.913493431,-79.4,3.9
HIRES-post04,2453239.913493431,-74.4,1.41149
HIRES,2453239.913496431,-73.71,1.79
HIRES,2453240.895300487,25.47,1.99
HIRES-post04,2453240.8953014873,23.79,1.490692
HIRES,2453240.8953014873,19.4,4.3
HIRES,2453301.7014295645,88.3,3.4
HIRES-post04,2453301.7014295645,86.7,1.282927
HIRES,2453301.7014325643,90.38,1.68
HIRES,2453302.8484542514,-44.49,1.63
HIRES-post04,2453302.848458251,-47.67,1.331596
HIRES,2453302.848458251,-51.1,4.2
HIRES,2453302.8505641045,-46.05,1.78
HIRES-post04,2453302.8505641045,-48.73,1.267819
HIRES,2453302.8505641045,-50.9,3.9
HIRES,2453338.753989991,-77.47,1.6
HIRES-post04,2453338.7539929906,-78.62,1.324263
HIRES,2453338.7539929906,-80.5,3.6
HIRES,2453339.7537077502,40.6,3.2
HIRES-post04,2453339.7537077502,38.36,1.294529
HIRES,2453339.7537117503,42.53,1.51
HIRES,2453367.6945312456,5.8,1.41
HIRES,2453367.694535245,1.6,3.2
HIRES-post04,2453367.694535245,5.1,1.156627
HIRES-post04,2453367.6972890245,8.74,1.241235
HIRES,2453367.6972890245,8.8,3.2
HIRES,2453367.6972910245,8.38,1.57
HIRES,2453368.7004618333,84.81,1.49
HIRES,2453368.7004628335,83.0,3.1
HIRES-post04,2453368.7004628335,82.28,1.098511
HIRES,2453368.7047314937,83.79,1.54
HIRES-post04,2453368.7047334933,81.05,1.100229
HIRES,2453368.7047334933,81.8,3.0
HIRES-post04,2453369.688301563,-38.88,1.110274
HIRES,2453369.688301563,-37.2,3.2
HIRES,2453369.6883045626,-36.43,1.54
HIRES,2453369.695292012,-30.3,3.1
HIRES-post04,2453369.695292012,-31.95,1.072984
HIRES,2453369.6952940114,-28.06,1.49
HIRES-post04,2453370.6956424825,-61.19,1.235594
HIRES,2453370.6956424825,-64.1,3.5
HIRES,2453370.6991032124,-61.6,3.0
HIRES-post04,2453370.6991032124,-61.96,1.208285
HIRES,2453604.946688527,84.4,1.74
HIRES-post04,2453604.946691527,87.91,1.321426
HIRES,2453604.946691527,80.7,3.8
HIRES,2453968.9867516113,-38.85,1.83
HIRES-post04,2453968.9867556114,-30.99,1.342888
HIRES-post04,2454251.1031760075,-62.83,1.586939
HIRES,2454251.1031770078,-62.39,1.77
HIRES-post04,2454251.1047161403,-60.89,1.578879
HIRES,2454251.1047171406,-59.14,2.08
HIRES,2454251.1062772754,-59.47,1.94
HIRES-post04,2454251.1062782756,-63.03,1.562113
HIRES-post04,2454252.079718801,-40.1,1.357544
HIRES,2454252.079720801,-40.97,1.74
HIRES,2454601.1146762045,-27.94,1.81
HIRES,2454666.9906362956,-48.04,1.79
HIRES-post04,2454667.984358894,-46.57,1.424953
HIRES,2454667.984363894,-42.61,1.72
HIRES-post04,2454671.9715232723,17.92,1.303056
HIRES,2454671.9715242726,18.49,1.64
HIRES,2454673.0809524353,80.57,1.69
HIRES-post04,2454673.0809564353,77.11,1.321331
HIRES,2454675.9687972046,85.74,1.94
HIRES-post04,2454675.968798205,81.65,1.386096
HIRES-post04,2454675.9714253326,81.26,1.48123
